# l                Dl               -dDl             +dDl             
  2.00000000e+00   1.10437000e-01   6.14751615e-02   6.14751615e-02
  3.00000000e+00   3.78300000e-02   3.96450884e-02   3.96450884e-02
  4.00000000e+00   1.75461100e-02   2.35603232e-02   2.35603232e-02
  5.00000000e+00   4.53397000e-02   1.62989593e-02   1.62989593e-02
  6.00000000e+00   1.22689600e-02   1.35650039e-02   1.35650039e-02
  7.00000000e+00   3.78916600e-03   1.02886920e-02   1.02886920e-02
  8.00000000e+00   9.99408900e-03   8.81023444e-03   8.81023444e-03
  9.00000000e+00   1.27871000e-02   1.06921891e-02   1.06921891e-02
  1.00000000e+01  -8.42094500e-04   9.78119655e-03   9.78119655e-03
  1.10000000e+01  -1.31687800e-03   1.01448724e-02   1.01448724e-02
  1.20000000e+01  -5.71989700e-03   1.00972680e-02   1.00972680e-02
  1.30000000e+01   7.77663300e-03   1.05093662e-02   1.05093662e-02
  1.40000000e+01  -3.44340700e-05   1.15344805e-02   1.15344805e-02
  1.50000000e+01   1.61920900e-04   1.17477687e-02   1.17477687e-02
  1.60000000e+01   6.47853400e-03   1.26622465e-02   1.26622465e-02
  1.70000000e+01   1.17368400e-02   1.26837392e-02   1.26837392e-02
  1.80000000e+01   1.83314400e-02   1.52434130e-02   1.52434130e-02
  1.90000000e+01   3.60954700e-04   1.47304121e-02   1.47304121e-02
  2.00000000e+01  -6.21962200e-03   1.47975376e-02   1.47975376e-02
  2.10000000e+01   3.30238800e-02   1.73028287e-02   1.73028287e-02
  2.20000000e+01   1.47718800e-04   1.74762720e-02   1.74762720e-02
  2.30000000e+01   4.08600100e-02   1.81063207e-02   1.81063207e-02
  2.40000000e+01   3.56658800e-02   2.00335507e-02   2.00335507e-02
  2.50000000e+01   4.06603700e-02   2.09036480e-02   2.09036480e-02
  2.60000000e+01  -4.15601300e-03   2.07465429e-02   2.07465429e-02
  2.70000000e+01   5.01229200e-02   2.13700113e-02   2.13700113e-02
  2.80000000e+01   3.14831400e-02   2.31844267e-02   2.31844267e-02
  2.90000000e+01  -2.20809400e-04   2.37116252e-02   2.37116252e-02
  3.00000000e+01   3.45830303e-02   9.17916238e-02   9.17916238e-02
  3.10000000e+01  -5.07487342e-02   9.12748664e-02   9.12748664e-02
  3.20000000e+01   3.10583100e-01   9.08390354e-02   9.08390354e-02
  3.30000000e+01  -1.57260981e-02   9.06288363e-02   9.06288363e-02
  3.40000000e+01   5.53240588e-03   9.05581539e-02   9.05581539e-02
  3.50000000e+01  -4.65978911e-02   9.06221481e-02   9.06221481e-02
  3.60000000e+01  -1.50485805e-01   9.08143744e-02   9.08143744e-02
  3.70000000e+01   5.68015668e-02   9.11329405e-02   9.11329405e-02
  3.80000000e+01   2.66484890e-01   9.15685995e-02   9.15685995e-02
  3.90000000e+01   1.68720087e-01   9.21133670e-02   9.21133670e-02
  4.00000000e+01   7.31691748e-02   9.27586969e-02   9.27586969e-02
  4.10000000e+01   2.09184681e-01   9.35051895e-02   9.35051895e-02
  4.20000000e+01   2.24586912e-02   9.43406139e-02   9.43406139e-02
  4.30000000e+01   4.60999553e-02   9.52615255e-02   9.52615255e-02
  4.40000000e+01  -1.34368745e-02   9.62666723e-02   9.62666723e-02
  4.50000000e+01   1.88035437e-01   9.73550243e-02   9.73550243e-02
  4.60000000e+01   7.80844309e-02   9.85247051e-02   9.85247051e-02
  4.70000000e+01  -5.29424832e-02   9.97736700e-02   9.97736700e-02
  4.80000000e+01   2.55639808e-01   1.01099279e-01   1.01099279e-01
  4.90000000e+01   2.09834781e-01   1.02498811e-01   1.02498811e-01
  5.00000000e+01   4.57620923e-02   1.03969074e-01   1.03969074e-01
  5.10000000e+01   2.46532786e-01   1.05507289e-01   1.05507289e-01
  5.20000000e+01   2.16160010e-01   1.07111477e-01   1.07111477e-01
  5.30000000e+01   6.00329858e-02   1.08779640e-01   1.08779640e-01
  5.40000000e+01   1.52654221e-01   1.10508342e-01   1.10508342e-01
  5.50000000e+01   2.37126155e-01   1.12294419e-01   1.12294419e-01
  5.60000000e+01  -2.09798163e-02   1.14142094e-01   1.14142094e-01
  5.70000000e+01   1.28538652e-01   1.16045606e-01   1.16045606e-01
  5.80000000e+01   3.17494317e-01   1.18001101e-01   1.18001101e-01
  5.90000000e+01   2.94122094e-01   1.20006125e-01   1.20006125e-01
  6.00000000e+01   1.64333511e-01   1.22059579e-01   1.22059579e-01
  6.10000000e+01   3.95170343e-01   1.24164573e-01   1.24164573e-01
  6.20000000e+01   4.26722247e-01   1.26319594e-01   1.26319594e-01
  6.30000000e+01   2.87806278e-01   1.28518671e-01   1.28518671e-01
  6.40000000e+01   1.78478668e-01   1.30760196e-01   1.30760196e-01
  6.50000000e+01   3.63205967e-01   1.33042680e-01   1.33042680e-01
  6.60000000e+01   5.23803797e-01   1.35364650e-01   1.35364650e-01
  6.70000000e+01   4.84268280e-01   1.37724718e-01   1.37724718e-01
  6.80000000e+01   2.23682203e-01   1.40121382e-01   1.40121382e-01
  6.90000000e+01   3.90648255e-02   1.42552529e-01   1.42552529e-01
  7.00000000e+01   2.50565466e-01   1.45016009e-01   1.45016009e-01
  7.10000000e+01   4.75350929e-01   1.47509713e-01   1.47509713e-01
  7.20000000e+01   1.86457744e-01   1.50031652e-01   1.50031652e-01
  7.30000000e+01   3.99541008e-01   1.52579769e-01   1.52579769e-01
  7.40000000e+01   4.85443057e-01   1.55152185e-01   1.55152185e-01
  7.50000000e+01   2.55950128e-01   1.57747015e-01   1.57747015e-01
  7.60000000e+01   5.15092820e-01   1.60362410e-01   1.60362410e-01
  7.70000000e+01   3.24994415e-01   1.62996597e-01   1.62996597e-01
  7.80000000e+01   7.72583437e-01   1.65647836e-01   1.65647836e-01
  7.90000000e+01   3.78577791e-01   1.68314429e-01   1.68314429e-01
  8.00000000e+01   2.77400156e-01   1.70994724e-01   1.70994724e-01
  8.10000000e+01   3.80379902e-01   1.73687112e-01   1.73687112e-01
  8.20000000e+01   8.06769955e-01   1.76389948e-01   1.76389948e-01
  8.30000000e+01   7.03600644e-01   1.79101324e-01   1.79101324e-01
  8.40000000e+01   4.44932308e-01   1.81819307e-01   1.81819307e-01
  8.50000000e+01   3.92939172e-01   1.84542010e-01   1.84542010e-01
  8.60000000e+01   5.20887590e-01   1.87267588e-01   1.87267588e-01
  8.70000000e+01   5.41438620e-01   1.89994231e-01   1.89994231e-01
  8.80000000e+01   5.33294843e-01   1.92720257e-01   1.92720257e-01
  8.90000000e+01   4.56609107e-01   1.95443959e-01   1.95443959e-01
  9.00000000e+01   7.58823428e-01   1.98163564e-01   1.98163564e-01
  9.10000000e+01   5.16174148e-01   2.00877242e-01   2.00877242e-01
  9.20000000e+01   6.04507279e-01   2.03583187e-01   2.03583187e-01
  9.30000000e+01   1.18497349e+00   2.06279611e-01   2.06279611e-01
  9.40000000e+01   8.94608735e-01   2.08964786e-01   2.08964786e-01
  9.50000000e+01   6.36525558e-01   2.11637011e-01   2.11637011e-01
  9.60000000e+01   6.93000804e-01   2.14294609e-01   2.14294609e-01
  9.70000000e+01   3.91041070e-01   2.16935962e-01   2.16935962e-01
  9.80000000e+01   8.28537500e-01   2.19559463e-01   2.19559463e-01
  9.90000000e+01   3.30379964e-01   2.22163624e-01   2.22163624e-01
  1.00000000e+02   5.88375526e-01   2.24746966e-01   2.24746966e-01
  1.01000000e+02   8.45713384e-01   2.27308042e-01   2.27308042e-01
  1.02000000e+02   9.19603501e-01   2.29845440e-01   2.29845440e-01
  1.03000000e+02   6.70513044e-01   2.32357805e-01   2.32357805e-01
  1.04000000e+02   8.26919471e-01   2.34843806e-01   2.34843806e-01
  1.05000000e+02   1.14384651e+00   2.37302075e-01   2.37302075e-01
  1.06000000e+02   6.83668897e-01   2.39731296e-01   2.39731296e-01
  1.07000000e+02   7.83921220e-01   2.42130240e-01   2.42130240e-01
  1.08000000e+02   1.08672009e+00   2.44497646e-01   2.44497646e-01
  1.09000000e+02   1.30224908e+00   2.46832254e-01   2.46832254e-01
  1.10000000e+02   5.35680701e-01   2.49132923e-01   2.49132923e-01
  1.11000000e+02   8.12642646e-01   2.51398423e-01   2.51398423e-01
  1.12000000e+02   1.21195421e+00   2.53627662e-01   2.53627662e-01
  1.13000000e+02   9.21246105e-01   2.55819454e-01   2.55819454e-01
  1.14000000e+02   5.25199477e-01   2.57972712e-01   2.57972712e-01
  1.15000000e+02   5.13983841e-01   2.60086467e-01   2.60086467e-01
  1.16000000e+02   1.14473893e+00   2.62160157e-01   2.62160157e-01
