# l                Dl(TT)           sigmaDl(TT)      Dl(EE)           sigmaDl(EE)      Dl(TE)           sigmaDl(TE)      BFCMB/cal(TT)    BFCMB/cal(EE)    BFCMB/cal(TE)    
  3.21228733e+01   1.10606285e+03   1.17138632e+02   5.86749519e-02   3.84489793e-02   1.52966880e+00   1.48794019e+00   1.08920426e+03   2.74455507e-02   1.91994060e+00
  3.71065341e+01   1.18785099e+03   1.16821291e+02   6.03432711e-02   3.84972677e-02   3.14188998e+00   1.47820462e+00   1.17553002e+03   4.48171009e-02   1.88193974e+00
  4.20940265e+01   1.43441182e+03   1.17799511e+02   6.62730235e-02   3.98042946e-02   8.30210338e-01   1.50060065e+00   1.26695866e+03   6.82693239e-02   1.59822161e+00
  4.70841453e+01   1.37036445e+03   1.19547602e+02   1.38679971e-01   4.20694525e-02   1.08195901e+00   1.54684310e+00   1.36235744e+03   9.84339545e-02   1.02051566e+00
  5.20761421e+01   1.33378060e+03   1.21716263e+02   1.44675025e-01   4.51419742e-02   1.09006496e+00   1.61260119e+00   1.46254918e+03   1.35549368e-01   1.55529946e-01
  5.70695284e+01   1.61214271e+03   1.24172631e+02   1.91326526e-01   4.88897201e-02  -3.83509641e+00   1.69488807e+00   1.56701686e+03   1.80627170e-01  -1.05920046e+00
  6.20639713e+01   1.66783556e+03   1.26987717e+02   2.95160384e-01   5.32040086e-02  -4.30936019e+00   1.79196382e+00   1.67699223e+03   2.32293049e-01  -2.58974751e+00
  6.70592365e+01   1.84270949e+03   1.30311308e+02   3.30518290e-01   5.79934015e-02  -2.04573254e+00   1.90281949e+00   1.79176026e+03   2.91073224e-01  -4.46531844e+00
  7.20551541e+01   1.97823300e+03   1.34040564e+02   3.56078038e-01   6.31596728e-02  -8.56734198e+00   2.02537878e+00   1.91244511e+03   3.55956291e-01  -6.63765944e+00
  7.70515979e+01   1.76868999e+03   1.38092829e+02   4.48207609e-01   6.86007337e-02  -7.25310118e+00   2.15742630e+00   2.03879006e+03   4.25971129e-01  -9.11635091e+00
  8.20484724e+01   2.17185183e+03   1.42433037e+02   5.22278756e-01   7.42193940e-02  -9.90989414e+00   2.29709849e+00   2.17192588e+03   5.00038247e-01  -1.18556644e+01
  8.70457038e+01   2.33511779e+03   1.47043877e+02   4.89585977e-01   7.99232598e-02  -1.27538421e+01   2.44243102e+00   2.31064409e+03   5.76569231e-01  -1.48092517e+01
  9.20432344e+01   2.45027633e+03   1.51883717e+02   7.89541469e-01   8.56184658e-02  -1.92374138e+01   2.59113170e+00   2.45496866e+03   6.54186733e-01  -1.79307912e+01
